date,close,open,highest,lowest,volume,rate,_index
2023-01-20,3264.81,3247.2,3267.06,3247.2,27.32B,0.76%,sh
2023-01-19,3240.28,3221.52,3240.28,3210.38,22.65B,0.49%,sh
2023-01-18,3224.41,3227.59,3234.82,3220.37,21.21B,0.00%,sh
2023-01-17,3224.24,3229.44,3231.26,3211.76,22.66B,-0.10%,sh
2023-01-16,3227.59,3198.52,3251.37,3197.32,30.67B,1.01%,sh
2023-01-13,3195.31,3170.35,3195.31,3167.51,22.02B,1.01%,sh
2023-01-12,3163.45,3167.27,3171.59,3153.4,21.67B,0.05%,sh
2023-01-11,3161.84,3172.38,3184.76,3160.89,23.77B,-0.24%,sh
2023-01-10,3169.51,3178.02,3178.16,3165.14,23.30B,-0.21%,sh
2023-01-09,3176.08,3169.37,3183.58,3165.43,25.81B,0.58%,sh
2023-01-06,3157.64,3155.07,3170.74,3151.84,25.74B,0.08%,sh
2023-01-05,3155.22,3132.76,3159.43,3130.23,25.70B,1.01%,sh
2023-01-04,3123.52,3117.57,3129.09,3109.45,27.33B,0.22%,sh
2023-01-03,3116.51,3087.51,3119.86,3073.05,28.14B,0.88%,sh
2022-12-30,3089.26,3084.52,3096.31,3082.2,21.75B,0.51%,sh
2022-12-29,3073.7,3076.73,3086,3064.46,21.56B,-0.44%,sh
2022-12-28,3087.4,3088.62,3098.65,3079.43,22.46B,-0.26%,sh
2022-12-27,3095.57,3077.75,3098.08,3074.31,22.22B,0.98%,sh
2022-12-26,3065.56,3048.2,3071.84,3047.35,20.65B,0.65%,sh
2022-12-23,3045.87,3038.84,3061.87,3031.54,19.20B,-0.28%,sh
2022-12-22,3054.43,3085.8,3096.24,3044.6,22.36B,-0.46%,sh
2022-12-21,3068.41,3078.33,3085.8,3060.55,18.91B,-0.17%,sh
2022-12-20,3073.77,3098.95,3100.75,3061.51,21.88B,-1.07%,sh
2022-12-19,3107.11,3165.31,3170.26,3096.1,27.85B,-1.92%,sh
2022-12-16,3167.86,3156.14,3175.35,3151.61,25.98B,-0.02%,sh
2022-12-15,3168.65,3177.2,3179.1,3158.45,24.30B,-0.25%,sh
2022-12-14,3176.53,3178.55,3189.83,3168.59,26.56B,0.01%,sh
2022-12-13,3176.33,3179.44,3187.2,3171.48,28.58B,-0.09%,sh
2022-12-12,3179.04,3195.87,3196.72,3176.58,33.34B,-0.87%,sh
2022-12-09,3206.95,3197.12,3212.11,3182.91,373.34K,0.30%,sh
